Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
3.86 m 17.24 deg
3.91 m 19.04 deg
8.5 m 21.3 deg
8.54 m 23.09 deg
11.45 m 24.89 deg
654.36 m 26.7 deg
10.81 m 28.49 deg
654.36 m 30.74 deg
654.36 m 32.55 deg
7.73 m 34.34 deg
7.11 m 36.59 deg
7.72 m 38.39 deg
6.81 m 40.19 deg
6.83 m 41.99 deg
7.01 m 43.8 deg
6.36 m 45.6 deg
6.76 m 47.4 deg
654.36 m 49.19 deg
5.21 m 50.99 deg
5.32 m 53.24 deg
5.51 m 55.05 deg
5.72 m 56.85 deg
5.94 m 58.65 deg
654.36 m 60.44 deg
6.44 m 62.24 deg
6.74 m 64.5 deg
7.37 m 66.3 deg
7.56 m 68.1 deg
8.03 m 69.9 deg
654.36 m 71.7 deg
15.24 m 73.5 deg
654.36 m 75.3 deg
12.1 m 76.65 deg
12.18 m 78.0 deg
15.5 m 78.45 deg
15.58 m 79.35 deg
15.95 m 79.8 deg
16.84 m 80.25 deg
16.75 m 80.7 deg
16.33 m 81.6 deg
654.36 m 82.05 deg
16.09 m 82.5 deg
16.48 m 82.95 deg
17.68 m 83.4 deg
17.35 m 83.4 deg
17.51 m 83.85 deg
17.43 m 84.3 deg
17.42 m 84.75 deg
654.36 m 85.2 deg
17.79 m 85.2 deg
654.36 m 85.65 deg
654.36 m 86.1 deg
654.36 m 86.55 deg
654.36 m 86.55 deg
654.36 m 87.0 deg
654.36 m 87.45 deg
654.36 m 87.45 deg
24.52 m 87.9 deg
24.49 m 88.35 deg
24.44 m 90.74 deg
24.4 m 90.74 deg
24.37 m 90.3 deg
24.33 m 90.3 deg
24.32 m 89.84 deg
24.3 m 89.39 deg
24.29 m 89.39 deg
24.24 m 88.95 deg
24.26 m 88.49 deg
24.25 m 88.49 deg
654.36 m 88.05 deg
654.36 m 87.59 deg
654.36 m 87.14 deg
654.36 m 87.14 deg
654.36 m 86.7 deg
654.36 m 86.24 deg
654.36 m 85.8 deg
654.36 m 85.35 deg
654.36 m 84.89 deg
654.36 m 84.45 deg
16.7 m 83.99 deg
16.7 m 83.55 deg
16.67 m 83.1 deg
16.64 m 82.64 deg
654.36 m 82.2 deg
654.36 m 81.29 deg
654.36 m 80.85 deg
654.36 m 79.94 deg
654.36 m 79.04 deg
654.36 m 77.69 deg
654.36 m 75.89 deg
654.36 m 74.1 deg
14.21 m 72.29 deg
12.66 m 70.49 deg
654.36 m 68.69 deg
10.04 m 66.89 deg
9.22 m 65.1 deg... (22 KB left)
